Model_y,Model_d,Theta,SE,CI_Lower,CI_Upper,t_stat,p_value,RMSE_y,RMSE_d
OLS,OLS,-0.0798991718365234,0.03513816228392362,-0.1487699699130137,-0.0110283737600331,-2.2738574428258813,0.022974559164980812,1.1963500276141352,0.47655895654606534
OLS,Lasso,-0.07511361288514225,0.03528181203143545,-0.14426596446675571,-0.005961261303528767,-2.1289613135010583,0.03325746126367757,1.1963500276141352,0.47464831197889307
OLS,RF,-0.07288789223789931,0.03444011087209194,-0.1403905095471995,-0.005385274928599096,-2.1163663644579898,0.03431366045537865,1.1963500276141352,0.4862510551552638
Lasso,OLS,-0.08133692642555362,0.03513461685334977,-0.15020077545811916,-0.012473077392988072,-2.315008208714787,0.0206124828379739,1.1962514440516312,0.47655895654606534
Lasso,Lasso,-0.07680644604082626,0.03527818726690272,-0.14595169308395559,-0.007661198997696933,-2.1771653248432217,0.029468234466529797,1.1962514440516312,0.47464831197889307
Lasso,RF,-0.07351443997085473,0.034437009197445134,-0.14101097799784718,-0.006017901943862272,-2.13475100434415,0.03278135435297225,1.1962514440516312,0.4862510551552638
RF,OLS,-0.08289724234410156,0.036076163716633164,-0.15360652322870255,-0.01218796145950056,-2.297839731386994,0.02157091252271437,1.2282993815094176,0.47655895654606534
RF,Lasso,-0.08071957567414664,0.03622249898637164,-0.15171567368743505,-0.009723477660858224,-2.228437516266246,0.025851353682158962,1.2282993815094176,0.47464831197889307
RF,RF,-0.07962571445415187,0.035357805447378376,-0.14892701313101347,-0.01032441577729025,-2.251998206524884,0.02432238535334963,1.2282993815094176,0.4862510551552638
NN_Small,NN_Small,-0.05260532232396693,0.03495133605720522,-0.12110994099608915,0.01589929634815529,-1.5051019004786326,0.13229788049200808,1.2030392731200343,0.4819223486496452
NN_Medium,NN_Medium,-0.0736124583402777,0.03496776821185088,-0.14214928403550542,-0.005075632645049982,-2.1051517470116896,0.03527810100687678,1.2000473359532478,0.480395920263683
NN_Large,NN_Large,-0.07197781827630566,0.035003581667140016,-0.1405848383439001,-0.003370798208711223,-2.056298665684135,0.03975373684224648,1.1991954651853662,0.4795732946777784
