"Model","Theta_CF","Theta_NoCF","RMSE_y_CF","RMSE_y_NoCF","RMSE_d_CF","RMSE_d_NoCF"
"OLS/OLS",-0.0812295077437671,-0.072575619553783,1.19783170163514,1.19047483480523,0.475336373203539,0.473365142080675
"OLS/Lasso",-0.0711608019120132,-0.0724390691423734,1.19586077199352,1.19047483480523,0.474667025668549,0.473811087707594
"OLS/RF",-0.073156579146645,-0.0732846581212382,1.1928822377259,1.19047483480523,0.475454411568689,0.472435233255862
"Lasso/OLS",-0.0713653208783323,-0.0726030092972645,1.19580468856335,1.19047483480523,0.475148986271232,0.448819187834747
"Lasso/Lasso",-0.0723365268632696,-0.077312353624689,1.1958234065903,1.19047483480523,0.474627389342677,0.430113206216239
"Lasso/RF",-0.0674285933485622,-0.0854436213214297,1.19661360901964,1.19047483480523,0.474131494664488,0.426613368656011
"RF/OLS",-0.0673284118289521,-0.072575619553783,1.19606265111095,1.19065708378854,0.476094353682343,0.473365142080675
"RF/Lasso",-0.0796197553195109,-0.0727310126229503,1.19661453060073,1.19058473355417,0.474388024261061,0.473726150118674
"RF/RF",-0.0776138758287034,-0.0735933958914215,1.19610447635804,1.1905736156392,0.47488795052902,0.472432658766987
"NN_Small/NN_Small",-0.0860446783591515,-0.0778223382591272,1.22214700190849,1.1905736156392,0.505258235847295,0.448637579992546
"NN_Medium/NN_Medium",-0.116060821526485,-0.0735782551972031,1.29489676072259,1.19065708378854,0.525668964158222,0.431106124765539
"NN_Large/NN_Large",-0.10404596968383,-0.08565371800529,1.31691653661936,1.19068526953715,0.530670726621496,0.426918464267445
