"Model_y","Model_d","Theta","SE","CI_Lower","CI_Upper","t_stat","p_value","RMSE_y","RMSE_d"
"OLS","OLS",-0.0812295077437671,0.0352717090704283,-0.150362057521806,-0.0120969579657277,-2.30296489409043,0.0212808183815707,1.19783170163514,0.475336373203539
"OLS","Lasso",-0.0711608019120132,0.0352675864709309,-0.140285271395038,-0.00203633242898861,-2.01773948922382,0.0436183998353108,1.19586077199352,0.474667025668549
"OLS","RF",-0.073156579146645,0.0351205641814986,-0.141992884942382,-0.00432027335090769,-2.08301264092971,0.0372500713390147,1.1928822377259,0.475454411568689
"Lasso","OLS",-0.0713653208783323,0.0352300499656426,-0.140416218810992,-0.00231442294567288,-2.02569456892426,0.0427960935999074,1.19580468856335,0.475148986271232
"Lasso","Lasso",-0.0723365268632696,0.035268962032194,-0.14146369244637,-0.00320936128016938,-2.05099676018931,0.0402672622530591,1.1958234065903,0.474627389342677
"Lasso","RF",-0.0674285933485622,0.0353311335579231,-0.136677615122091,0.00182042842496706,-1.90847523298446,0.0563298212738368,1.19661360901964,0.474131494664488
"RF","OLS",-0.0673284118289521,0.0351691903575256,-0.136260024929702,0.00160320127179811,-1.91441460961995,0.0555672002867444,1.19606265111095,0.476094353682343
"RF","Lasso",-0.0796197553195109,0.0353070629988984,-0.148821598797352,-0.0104179118416701,-2.25506594309459,0.0241291899488132,1.19661453060073,0.474388024261061
"RF","RF",-0.0776138758287034,0.0352556857944137,-0.146715019985754,-0.00851273167165255,-2.20145698714507,0.0277036885080277,1.19610447635804,0.47488795052902
"NN_Small","NN_Small",-0.0860446783591515,0.0338526434583712,-0.152395859537559,-0.0196934971807439,-2.54174178347287,0.01103016275112,1.22214700190849,0.505258235847295
"NN_Medium","NN_Medium",-0.116060821526485,0.0344586079811348,-0.183599693169509,-0.0485219498834606,-3.36812275150595,0.000756818919278812,1.29489676072259,0.525668964158222
"NN_Large","NN_Large",-0.10404596968383,0.0347223062738143,-0.172101689980506,-0.0359902493871535,-2.99651667326878,0.00273083303818877,1.31691653661936,0.530670726621496
