Depth,LR,MSE,R2
1,1e-4,0.019049366205018726,0.9628354651476178
1,0.001,0.010347827651090961,0.9798118112042963
1,0.01,0.010503550629753174,0.9795080020378641
1,0.1,0.012661028261425605,0.9752988513620584
2,1e-4,0.01014466241472901,0.9802081782763712
2,0.001,0.011818343337926092,0.9769428952043528
2,0.01,0.013022407486432408,0.9745938152648914
2,0.1,0.1794853573023895,0.6498314040915684
3,1e-4,0.01030789428678683,0.9798897195658387
3,0.001,0.009946635261264502,0.9805945211587246
3,0.01,0.017764540392160636,0.9653421077932205
3,0.1,1.206266390721851,-1.35337642401083
